#
# AUTHOR:
#  Ulrich Blahak, FE 13, DWD
#  Tel. +49 69 8062 2393
#  ulrich.blahak@dwd.de
#
# HISTORY:
# Version      Date       Name
# ------------ ---------- ----
# V4_20        2011/08/31 Ulrich Blahak
#  Initial release
#
#--
#  4 LINES OF HEADER, THEN 8 DATA COLUMNS
#  The COSMO model ingests not all of them but only Z, T, Relhum, WG, and WR
#  T might be replaced by pot. temperature Theta [K] - then set namelist "rasofile_t_is_theta = .true."
P [hPa], Z [m], T [K], Taup [K], Relhum [%], r [g/kg], WG [m/s], WR [deg]
 1000.0000          0   300.0000   292.4112    63.1962   14.19878    0.00000   270.0000
  988.7517        100   299.1311   292.2245    65.7473   14.19415    0.16660   270.0000
  977.5984        200   298.2979   292.0383    68.2801   14.19016    0.33284   270.0000
  966.5405        300   297.4824   291.8525    70.8582   14.18678    0.49834   270.0000
  955.5781        400   296.6796   291.6672    73.5007   14.18399    0.66274   270.0000
  944.7110        500   295.8868   291.4822    76.2191   14.18176    0.82570   270.0000
  933.9390        600   295.1022   291.2976    79.0218   14.18008    0.98688   270.0000
  923.2617        700   294.3247   291.1134    81.9164   14.17893    1.14594   270.0000
  912.6788        800   293.5534   290.9296    84.9094   14.17830    1.30260   270.0000
  902.1900        900   292.7876   290.7461    88.0072   14.17817    1.45656   270.0000
  891.7948       1000   292.0267   290.5629    91.2161   14.17853    1.60756   270.0000
  881.4928       1100   291.2702   290.3800    94.5423   14.17937    1.75536   270.0000
  871.2825       1200   290.5169   289.8368    95.7824   13.85286    1.89974   270.0000
  861.1619       1300   289.7662   289.0174    95.3386   13.29073    2.04052   270.0000
  851.1299       1400   289.0184   288.2001    94.8862   12.74963    2.17751   270.0000
  841.1862       1500   288.2734   287.3847    94.4256   12.22870    2.31059   270.0000
  831.3304       1600   287.5308   286.5711    93.9572   11.72716    2.43962   270.0000
  821.5624       1700   286.7906   285.7592    93.4815   11.24425    2.56454   270.0000
  811.8816       1800   286.0526   284.9488    92.9988   10.77926    2.68525   270.0000
  802.2878       1900   285.3167   284.1399    92.5092   10.33153    2.80172   270.0000
  792.7806       2000   284.5826   283.3324    92.0132    9.90044    2.91391   270.0000
  783.3596       2100   283.8503   282.5261    91.5110    9.48536    3.02184   270.0000
  774.0245       2200   283.1197   281.7211    91.0027    9.08574    3.12550   270.0000
  764.7748       2300   282.3906   280.9172    90.4886    8.70103    3.22493   270.0000
  755.6101       2400   281.6631   280.1144    89.9689    8.33071    3.32018   270.0000
  746.5301       2500   280.9369   279.3127    89.4437    7.97426    3.41131   270.0000
  737.5343       2600   280.2121   278.5119    88.9133    7.63122    3.49838   270.0000
